Sample,Stat,Mn,Fe,Zn,Ga,Rb,Sr,Y,Zr,Nb,Th,Source
Bead 1,mean,490,28403,213,32,211,0.2,113,988,45,27,Bingol A or Nemrut Dag A
Bead 1,sd,71,451,11,4,6,0.8,4,14,3,4,
Bead 2,mean,354,5313,71,16,152,6.9,16,70,19,17,East Gollu Dag
Bead 2,sd,112,194,6,2,6,1.5,1,8,2,3,
Bead 3,mean,455,24130,195,35,160,0.8,83,829,35,25,Bingol A or Nemrut Dag A
Bead 3,sd,74,416,20,6,3,0.5,6,52,4,4,
Bead 4,mean,312,7910,62,14,156,0.3,29,183,22,25,Pasinler Tizgi
Bead 4,sd,63,261,8,3,4,0.4,1,4,2,1,
Bead 5,mean,376,5640,46,14,173,7.8,16,61,19,17,East Gollu Dag
Bead 5,sd,38,90,9,3,1,1.4,1,13,1,2,
Bead 6,mean,353,5485,49,15,164,6.5,15,63,18,14,East Gollu Dag
Bead 6,sd,9,126,4,2,4,1.4,1,4,2,2,
Bead 7,mean,498,6756,61,18,195,8.3,15,73,19,19,East Gollu Dag
Bead 7,sd,91,173,13,3,5,1.6,2,9,2,2,
Bead 8,mean,390,5830,62,13,166,7.8,15,56,19,15,East Gollu Dag
Bead 8,sd,66,158,10,2,6,0.7,1,7,0.5,1,
Bead 13,mean,371,5971,94,18,160,3.9,13,41,16,17,East Gollu Dag
Bead 13,sd,61,206,7,3,4,1.9,4,15,2,2,
Bead 14,mean,527,4006,45,14,188,9.9,20,58,47,21,East Gollu Dag?
Bead 14,sd,63,145,4,3,3,1.1,3,8,2,3,
Bead 15,mean,195,12903,127,23,182,33,19,222,13,22,Bingol B
Bead 15,sd,47,396,15,3,8,2,2,20,2,6,
Bead 16,mean,373,6171,131,19,132,4.7,9.3,23,12,15,East Gollu Dag?
Bead 16,sd,84,242,23,3,4,1.3,3.3,18,1,5,
